,language,family,core inventory
63,Bata,AFRO-ASIATIC (Chadic),"['p', 't', 'k', 'k͡p', 'ʔ', 'b', 'd', 'ɡ', 'ɡ͡b', 'ɯ', 'ɓ', 'ɗ', 'ə', '\uf180b', 'ⁿd', '\uf182ɡ', '\uf182ɡ͡b', 'a', 'f', 'ʃ', 'h', 'v', 'ʒ', 'ⁿʒ', 'm', 'n', 'ŋ', 'ɭ', 'ɽ', 'w', 'j', '']"
64,Batibo Moghamo (Metaʼ),NIGER-CONGO (Bantu),"['p', 't', 'tʃ', 'k', 'ʔ', 'b', 'd', 'dʒ', 'ɡ', 'ĩ', 'i', 'ɨ', 'u', 'f', 'ʃ', 'ẽ', 'e', 'ə', 'o', 'ʒ', 'ã', 'a', 'ɔ', 'm', 'n', 'ɲ', 'ŋ', 'w', '']"
65,"Beaver, Halfway River",NA-DENE,"['tʰ', 'tsʰ', 'tɬʰ', 'tʃʰ', 'kʰ', 'p', 't', 'ts', 'tɬ', 'tʃ', 'k', 'i', 'u', 'tʼ', 'tsʼ', 'tɬʼ', 'tʃʼ', 'kʼ', 'ʔ', 'e', 'ə', 'o', 's', 'ɬ', 'ʃ', 'x', 'a', 'z', 'ɮ', 'ɣ', 'm', 'n', 'w', 'j', 'h', '']"
66,Belizian Creole (Northern Central America Creole English),CREOLE,"['p', 't', 'k', 'ʔ', 'b', 'd', 'ɡ', 'i', 'u', 'f', 'θ', 's', 'ʂ', 'ç', 'h', 'e', 'o', 'v', 'ð', 'z', 'ʐ', 'ʝ', 'ɑ', 'm', 'n', 'ŋ', 'l', 'iː', 'uː', 'r', 'eː', 'oː', 'w', 'j', 'ɑː', '']"
67,Bemba,NIGER-CONGO (Bantu),"['p', 't', 'tʃ', 'k', 'f', 's', 'ʃ', 'i', 'u', 'β', 'ɛ', 'ɔ', 'm', 'n', 'ɲ', 'ŋ', 'a', 'l', 'w', 'j', '']"
68,Bengali,INDO-EUROPEAN (Indo-Aryan),"['p', 't̪', 'ʈ', 'tʃ', 'k', 'b', 'd̪', 'ɖ', 'dʒ', 'ɡ', 'ĩ', 'ũ', 'pʰ', 't̪ʰ', 'ʈʰ', 'tʃʰ', 'kʰ', 'i', 'u', 'bʰ', 'd̪ʰ', 'ɖʰ', 'dʒʰ', 'ɡʰ', 'ẽ', 'õ', 's', 'ʃ', 'h', 'e', 'o', 'z', 'æ̃', 'ã', 'ɑ̃', 'm', 'n', 'ŋ', 'æ', 'a', 'ɑ', 'l', 'ɾ', 'ɽ', 'o̯', 'e̯', 'w', 'j', '']"
69,Berbice Dutch Creole,CREOLE,"['p', 't', 'k', 'b', 'd', 'ɡ', 'i', 'u', 'f', 's', 'ʃ', 'h', 'e', 'o', 'ɛ', 'm', 'n', 'a', 'l', 'r', '']"
70,Bikele,NIGER-CONGO (Bantu),"['p', 't', 'tʃ', 'k', 'k͡p', 'b', 'd', 'dʒ', 'ɡ', 'i', 'iː', 'ɨ', 'u', 'uː', '\uf180p', 'ⁿt', 'ⁿtʃ', '\uf182k', '\uf180k͡p', 'e', 'eː', 'o', 'oː', '\uf180b', 'ⁿd', 'ⁿdʒ', '\uf182ɡ', '\uf180ɡ͡b', 'ɛ', 'ɛː', 'ə', 'f', 's', 'a', 'aː', 'ɒ', 'ɒː', 'm', 'n', 'ɲ', 'ŋ', 'l', 'w', 'j', '']"
71,Binumarien,TRANS-NEW GUINEA,"['p', 't', 'k', 'ʔ', 'ɸ', 's', 'i', 'u', 'm', 'n', 'e', 'o', 'r', 'ɽ', 'a', 'w', 'j', '']"
72,Biri,AUSTRALIAN (Pama-Nyungan),"['b', 'd̪', 'd', 'ɟ', 'ɡ', 'm', 'n̪', 'n', 'ɲ', 'ŋ', 'i', 'u', 'l', 'a', 'r', 'w', 'ɻ', 'j', '']"
73,Bisu,SINO-TIBETAN,"['pʰ', 'pʲʰ', 'tʰ', 'kʰ', 'kʰʲ', 'p', 'pʲ', 't', 'k', 'kʲ', 'i', 'ɯ', 'u', 'b', 'bʲ', 'd', 'ɡ', 'e', 'ɤ', 'o', 'm', 'mʲ', 'n', 'ŋ', 'a', 'tsʰ', 'tɕʰ', 'ts', 'tɕ', 'i̺', 'f', 's', 'ɕ', 'x', 'v', 'z', 'ʑ', 'l', '']"
74,Blackfoot,ALGIC,"['p', 't', 'k', 'ʔ', 'i', 's', 'h', 'o', 'm', 'n', 'a', 'w', 'j', '']"
75,Boko/Busa,NIGER-CONGO (Mande),"['p', 'pˡ', 't', 'k', 'kʲ', 'kʷ', 'k͡p', 'ʔ', 'b', 'bˡ', 'd', 'ɡ', 'ɡʲ', 'ɡʷ', 'ɡ͡b', 'i', 'ĩ', 'u', 'ũ', 'f', 'fˡ', 's', 'sʷ', 'e', 'o', 'v', 'vˡ', 'z', 'zʷ', 'ɛ', 'ɛ̃', 'ɔ', 'ɔ̃', 'm', 'mˡ', 'N?', 'a', 'ã', 'l', 'j', 'w', 'h', '']"
76,Boko/Busa (Kaiama dialect),NIGER-CONGO (Mande),"['p', 'pˡ', 't', 'k', 'kʲ', 'kʷ', 'k͡p', 'ʔ', 'b', 'bˡ', 'd', 'ɡ', 'ɡʲ', 'ɡʷ', 'ɡ͡b', 'i', 'ĩ', 'u', 'ũ', 'f', 'fˡ', 's', 'sʷ', 'e', 'o', 'v', 'vˡ', 'z', 'zʷ', 'ɛ', 'ɛ̃', 'ɔ', 'ɔ̃', 'm', 'mˡ', 'N?', 'a', 'ã', 'l', 'j', 'w', 'h', '']"
77,Boruca,CHIBCHAN,"['t̪', 'ts', 'tʃ', 'k', 'ʔ', 'b', 'd̪', 'dʒ', 'ɡ', 'i', 'u', 's', 'ʃ', 'x', 'e', 'o', 'm', 'n', 'ɲ', 'ŋ', 'a', 'ɾ', '']"
78,Brahui,DRAVIDIAN,"['p', 't', 'ʈ', 'tʃ', 'k', 'ʔ', 'b', 'd', 'ɖ', 'dʒ', 'ɡ', 'f', 's', 'ʃ', 'x', 'iː', 'i', 'uː', 'u', 'z', 'ʒ', 'ɣ', 'eː', 'e', 'oː', 'o', 'ɬ', 'aː', 'a', 'ɽ', 'm', 'n', 'ɳ', 'ɲ', 'ŋ', 'l', 'r', 'ʋ', 'j', '']"
79,Breton,INDO-EUROPEAN (Celtic),"['p', 't', 'k', 'b', 'd', 'ɡ', 'ĩ', 'ỹ', 'ũ', 'i', 'y', 'u', 'f', 's', 'ʃ', 'x', 'h', 'ẽ', 'õ', 'e', 'ø', 'o', 'v̥', 'v', 'ɛ̃', 'œ̃', 'ɛ', 'ɔ', 'm', 'n', 'ã', 'a', 'nː', 'l', 'lː', 'r', 'rː', 'w', 'j', '']"
80,Bribri,CHIBCHAN,"['p', 't̪', 't̪͡c', 'k', 'ʔ', 'b', 'd̪', 'ĩ', 'ũ', 'i', 'u', 't̪s̪', 'tʃ', 'ɪ', 'ʊ', 'dʒ', 'ẽ', 'õ', 'e', 'o', 's̪', 'ʃ', 'x', 'ã', 'a', 'ɺ', '']"
81,Bukiyip,TORRICELLI,"['p', 't', 'tʃ', 'k', 'b', 'd', 'dʒ', 'ɡ', 'i', 'ɨ', 'u', 's', 'h', 'e', 'ə', 'o', 'm', 'n', 'ɲ', 'æ', 'a', 'l', 'r', 'w', 'j', '']"
82,Bukusu,NIGER-CONGO (Bantu),"['p', 'tʃ', 'k', 'b', 'd', 'dʒ', 'ɡ', 'i', 'u', 'f', 's', 'x', 'e', 'o', 'm', 'n', 'ɲ', 'ŋ', 'N?', 'a', 'l', 'r', 'w', 'j', '']"
83,Bulgarian,INDO-EUROPEAN (Slavic),"['p', 'pʲ', 't', 'tʲ', 'c', 'k', 'b', 'bʲ', 'd', 'dʲ', 'ɟ', 'ɡ', 'i', 'ɨ', 'u', 'ts', 'tsʲ', 'tʃ', 'e', 'o', 'dʒ', 'a', 'f', 'fʲ', 's', 'sʲ', 'ʃ', 'x', 'v', 'vʲ', 'z', 'zʲ', 'ʒ', 'm', 'mʲ', 'n', 'nʲ', 'l', 'lʲ', 'r', 'rʲ', 'j', '']"
84,Buriat,ALTAIC,"['p', 't', 'k', 'b', 'd', 'ɡ', 'ai', 'iː', 'yː', 'uː', 'm', 'n', 'oi', 'i', 'y', 'u', 'f', 's', 'ʃ', 'x', 'h', 'ui', 'eː', 'øː', 'oː', 'v', 'z', 'ʒ', 'ei', 'e', 'o', 'ts', 'tʃ', 'yi', 'aː', 'w', 'r', 'j', 'a', 'l', '']"
85,Burmese,SINO-TIBETAN,"['pʰ', 'tʰ', 'cɕʰ', 'kʰ', 'p', 't', 'cɕ', 'k', 'ʔ', 'ai', 'i', 'u', 'b', 'd', 'ɟʝ', 'ɡ', 'au', 'ɛ', 'ʌ', 'ɔ', 'sʰ', 'ei', 'a', 'θ', 's', 'ou', 'ð', 'z', 'ĩ', 'ũ', 'mʰ', 'nʰ', 'ɲʰ', 'ŋʰ', 'ɛ̃', 'ʌ̃', 'ɔ̃', 'm', 'n', 'ɲ', 'ŋ', 'ã', 'ʍ', 'ɬ', 'jʰ', 'w', 'l', 'j', 'h', 'r', '']"
86,Cabécar,CHIBCHAN,"['p', 't̪', 'k', 't̪͡k', 'b', 'd̪', 'ĩ', 'ũ', 'i', 'u', 't̪s̪', 'tʃ', 'ɪ', 'ʊ', 'dʒ', 'ẽ', 'õ', 'e', 'o', 's̪', 'ʃ', 'h', 'ã', 'a', 'ɺ', '']"
87,Cahuilla,UTO-AZTECAN,"['p', 't', 'tʃ', 'k', 'kʷ', 'q', 'ʔ', 'iː', 'uː', 'f', 's', 'ʃ', 'xʷ', 'x', 'h', 'eː', 'aː', 'm', 'n', 'ɲ', 'ŋ', 'l', 'ʎ', 'i', 'u', 'ɾ', 'e', 'w', 'j', 'a', '']"
88,Cantonese,SINO-TIBETAN,"['pʰ', 'tʰ', 'tsʰ', 'kʰ', 'kʰʷ', 'iː', 'yː', 'uː', 'p', 't', 'ts', 'k', 'kʷ', 'ɪ', 'u', 'f', 's', 'h', 'ɛː', 'œː', 'oː', 'm', 'n', 'ŋ', 'e', 'ø', 'o', 'l', 'ɑː', 'w', 'j', 'ɐ', '']"
89,Capanahua,PANOAN,"['p', 't', 'k', 'ʔ', 'ts', 'tʃ', 'i', 'ɯ', 'o', 's', 'ʃ', 'ʂ', 'a', 'β', 'm', 'n', 'ɾ', 'w', 'j', '']"
90,Casiguran Dumagat (Agta),AUSTRONESIAN,"['p', 't', 'k', 'b', 'd', 'ɡ', 'ɪ', 'ʊ', 's', 'h', 'ɛ', 'ə', 'ɔ', 'm', 'n', 'ŋ', 'a', 'l', 'r', 'w', 'j', '']"
91,Catalan,INDO-EUROPEAN (Italic),"['p', 't̪', 'k', 'kʷ', 'b', 'd̪', 'ɡ', 'ɡʷ', 'i', 'u', 'f', 's', 'ʃ', 'e', 'o', 'v', 'z', 'ʒ', 'ɛ', 'ɔ', 'm', 'n', 'ɲ', 'a', 'r', 'l', 'ʎ', 'w', 'j', '']"
92,Cavineña,TACANAN,"['p', 't', 'tʲ', 'k', 'kʷ', 'ʔ', 'b', 'd', 'dʲ', 'i', 'o', 'ts', 'tʃ', 'e', 'a', 's', 'ʃ', 'h', 'ɾ', 'ʎ', 'm', 'n', 'ɲ', 'w', 'j', '']"
93,Cayapa (Chachi),BARBACOAN,"['p', 't', 'tʲ', 'k', 'ʔ', 'b', 'd', 'dʲ', 'ɡ', 'i', 'u', 'ts', 'tʃ', 'e', 'a', 'ɸ', 's', 'ʃ', 'h', 'm', 'n', 'ɲ', 'ŋ', 'l', 'ʎ', 'r', 'w', 'j', '']"
94,Cebuano,AUSTRONESIAN,"['p', 't̪', 'k', 'ʔ', 'b', 'd̪', 'ɡ', 'i', 'u', 's̪', 'h', 'm', 'n̪', 'ŋ', 'a', 'l̪', 'ɾ̪', 'j', 'w', '']"
95,Chakosi,NIGER-CONGO (Kwa),"['p', 'pʲ', 'pʷ', 't', 'tʲ', 'c', 'cʷ', 'k', 'kʷ', 'k͡p', 'k͡pʲ', 'i', 'u', 'b', 'bʲ', 'bʷ', 'd', 'dʲ', 'ɟ', 'ɟʷ', 'ɡ', 'ɡʷ', 'ɡ͡b', 'ɡ͡bʲ', 'e', 'o', 'f', 'fʲ', 's', 'sɥ', 'h', 'ɛ', 'ɔ', 'm', 'mʲ', 'n', 'nʲ', 'ɲ', 'ŋ', 'ŋ͡m', 'ŋ͡mʲ', 'a', 'l', 'lɥ', 'ɾ', 'ĩ', 'ũ', 'ɥ̥', 'ɛ̃', 'ɔ̃', 'w', 'ɥ', 'ã', '']"
96,Chamorro,AUSTRONESIAN,"['p', 't', 'k', 'ʔ', 'b', 'd', 'ɡ', 'ts', 'i', 'u', 'dz', 'e', 'o', 'f', 's', 'h', 'æ', 'a', 'm', 'n', 'ɲ', 'ŋ', 'l', 'r', 'w', '']"
97,Chemehuevi (dialect of Ute-Southern Paiute),UTO-AZTECAN,"['p', 't', 'k', 'kʷ', 'ʔ', 'ts', 'i', 'ɨ', 'u', 's', 'h', 'a', 'o', 'v', 'ɣ', 'ɣʷ', 'm', 'n', 'ŋ', 'mʼ', 'n’', 'ŋʼ', 'r', 'w', 'j', 'wʼ', 'jʼ', '']"
98,"Cheremis, Eastern (Mari)",URALIC (Finno-Ugric),"['p', 't̪', 'tʃ', 'k', 'b', 'd̪', 'ɡ', 'i', 'y', 'u', 's̪', 'ʃ', 'e', 'ø', 'ə', 'o', 'z̪', 'ʒ', 'a', 'm', 'n̪', 'ɲ', 'ŋ', 'ɾ̪', 'l̪', 'ʎ', 'j', '']"
99,Cherokee (Oklahoma dialect),IROQUOIAN,"['t', 'tʃ', 'k', 'iː', 'oː', 's', 'ʃ', 'h', 'aː', 'm', 'n', 'ɬ', 'i', 'l', 'o', 'w', 'j', 'a', '']"
100,Cherokee (Qualla dialect),IROQUOIAN,"['t', 'k', 'ʔ', 'ts', 'i', 'u', 's', 'h', 'e', 'o', 'm', 'n', 'ʌ̃', 'l', 'a', 'j', 'w', '']"
101,"Chomo (Dhu, Como Karim)",NIGER-CONGO,"['p', 't', 'k', 'ts', 'b', 'd', 'ɡ', 'i', 'u', 'dz', 'ɨ', 'f', 'θ', 's', 'h', 'ɛ', 'ɔ', 'v', 'ð', 'z', 'a', '\uf180b', 'ⁿd', '\uf182ɡ', 'N?', 'r', 'l', 'w', 'j', '']"
102,Chori (Cori),NIGER-CONGO (Bantu),"['p', 't', 'k', 'kʷ', 'k͡p', 'k͡pʷ', 'b', 'd', 'ɡ', 'ɡʷ', 'ɡ͡b', 'ɡ͡bʷ', 'i', 'u', 'ts', 'kf', 'e', 'o', 'dz', 'ɛ', 'ɔ', '\uf180b', 'ⁿd', '\uf182ɡ', '\uf182ɡʷ', '\uf182ɡ͡b', 'a', 'ⁿdz', 'f', 's', 'x', 'xʷ', 'h', 'v', 'z', 'ɣ', 'ɣʷ', 'm', 'n', 'ɲ', 'ŋ', 'ŋʷ', 'r', 'l', 'j', 'w', '']"
103,Chrau,AUSTRO-ASIATIC,"['p', 't', 'c', 'k', 'ʔ', 'iː', 'uː', 'ʔb', 'ʔd', 'ɪ', 'ʊ', 'b', 'd', 'ɟ', 'ɡ', 'e̝ː', 'o̝ː', 'ʃ', 'h', 'e', 'o', 'm', 'n', 'ɲ', 'ŋ', 'ɛː', 'ɔː', 'r', 'a̝', 'w', 'l', 'j', 'aː', '']"
104,Ciyao (Yao),NIGER-CONGO (Bantu),"['p', 't', 'tʃ', 'k', 'b', 'd', 'dʒ', 'ɡ', 'i', 'iː', 'u', 'uː', 's', 'e', 'eː', 'o', 'oː', 'm', 'n', 'ɲ', 'ŋ', 'a', 'aː', 'l', 'w', 'ʋ', 'j', '']"
105,Coatzospan Mixtec (Coatzospan Mixteco),OTO-MANGUEAN,"['t', 'k', 'kʷ', 'ⁿd', 'iʔi', 'ɨʔɨ', 'uʔu', 'i', 'ɨ', 'u', 'ts', 'tʃ', 'eʔe', 'oʔo', 'e', 'o', 'aʔa', 'a', 'ʃ', 'β', 'ð', 'ĩʔĩ', 'ɨ̃ʔɨ̃', 'ũʔũ', 'ĩ', 'ɨ̃', 'ũ', 'm', 'n', 'ɲ', 'ẽʔẽ', 'ẽ', 'l', 'ãʔã', 'ã', '']"
106,Coeur dʼAlene,SALISHAN,"['p', 't', 'kʷ', 'q', 'qʷ', 'pʼ', 'tʼ', 'kʼʷ', 'qʼ', 'qʼʷ', 'ʔ', 'i', 'ə', 'u', 'b', 'd', 'ɡʷ', 'ɛ', 'a', 'o', 'ts', 'tʃ', 'tsʼ', 'tʃʼ', 'dʒ', 's', 'ʃ', 'xʷ', 'χ', 'χʷ', 'h', 'ɬ', 'm', 'n', 'ʀ', 'ʕ', 'ʕʷ', 'mʼ', 'n’', 'ʀʼ', 'ʕʼ', 'ʕʼʷ', 'l', 'lʼ', 'j', 'w', 'jʼ', 'wʼ', '']"
107,Cofán (Cofan),CHIBCHAN,"['p', 't', 'k', 'pʰ', 'tʰ', 'kʰ', 'ʔ', 'i', 'ɨ', 'o', 'b', 'd', 'ɡ', 'ɛ', 'a', 'ts', 'tʃ', 'tsʰ', 'tʃʰ', 'ĩ', 'ɨ̃', 'õ', 'dz', 'dʒ', 'ɛ̃', 'ã', 'ɸ', 's', 'ʃ', 'h', 'β', 'j', 'ɣ', 'm', 'n', 'ɲ', 'r', '']"
108,Comaltepec Chinantec (Comaltepec Chinanteco),OTO-MANGUEAN,"['p', 't', 'k', 'ʔ', 'b', 'd', 'ɡ', 'i', 'ɨ', 'u', 'ts', 'e', 'o', 'dz', 'a', 's', 'h', 'm', 'n', 'ŋ', 'l', 'r', '']"
109,Comanche,UTO-AZTECAN,"['p', 't', 'k', 'kʷ', 'ʔ', 'ts', 'i', 'ɨ', 'u', 's', 'h', 'e', 'o', 'm', 'n', 'a', 'w', 'j', '']"
110,Creole of São Tomé (Sãotomense),CREOLE,"['p', 't', 'tʃ', 'k', 'dʒ', 'ɡ', 'ĩ', 'ũ', 'i', 'u', 'ɓ', 'ɗ', 'ẽ', 'õ', 'e', 'o', 'f', 's', 'ʃ', 'ɛ', 'ɔ', 'v', 'z', 'ʒ', 'ã', 'a', 'm', 'n', 'ɲ', 'l', 'ʎ', 'w', 'j', '']"
111,Cuna (San Blas Cuna),CHIBCHAN,"['p', 't', 'k', 'kʷ', 's', 'i', 'u', 'm', 'n', 'e', 'o', 'l', 'a', 'r', 'w', 'j', '']"
112,Czech,INDO-EUROPEAN (Slavic),"['p', 't̪', 't̪ʲ', 'ts', 'tʃ', 'k', 'b', 'd̪', 'd̪ʲ', 'ɡ', 'iː', 'uː', 'f', 's', 'ʃ', 'x', 'eː', 'oː', 'v', 'z', 'ʒ', 'ɦ', 'aː', 'm', 'n̪', 'n̪ʲ', 'l̪', 'r', 'i', 'u', 'ř', 'e', 'o', 'j', 'a', '']"
113,Daga,TRANS-NEW GUINEA,"['p', 't', 'k', 'b', 'd', 'ɡ', 's', 'i', 'u', 'v', 'e', 'o', 'm', 'n', 'a', 'l', 'w', 'j', '']"
114,Dagur,ALTAIC,"['pʰ', 'tʰ', 'tʃ', 'kʰ', 'b', 'd', 'dʒ', 'ɡ', 'm', 'n', 'i', 'u', 's', 'ʃ', 'x', 'h', 'e', 'ɾ', 'a', 'o', 'l', 'N̩', '']"
115,Dahalo,AFRO-ASIATIC (Cushitic),"['p', 't̪', 'ts', 't', 'tʃ', 'k', 'kʷ', 'ʔ', 'b', 'd̪', 'dz', 'd', 'dʒ', 'ɡ', 'ɡʷ', 'iː', 'uː', 'pʼ', 't̪ʼ', 'tsʼ', 'tɬʼ', 'tʃʼ', 'kʼ', 'kʷʼ', 'i', 'u', 'ɓ', 'ɗ̪', 'ɗʒ', 'eː', 'oː', 'ǀ', 'e', 'o', '\uf180b', 'ⁿd̪', 'ⁿdz', 'ⁿd', 'ⁿdʒ', '\uf182ɡ', '\uf182ɡʷ', 'aː', 'ⁿǀ', 'ⁿdɮ', 'a', 'f', 's', 'ʃ', 'ħ', 'h', 'v', 'ʕ', 'm', 'n', 'ɲ', 'r', 'l', 'ɬ', 'w', 'j', '']"
116,"Dani, Lower Grand Valley",AUSTRONESIAN,"['p', 't', 'k', 'kʷ', 'i', 'u', 's', 'h', 'ɪ', 'ʊ', 'm', 'n', 'ŋ', 'e', 'o', 'l', 'a', 'w', 'j', 'ʔ', '']"
117,Danish,INDO-EUROPEAN (Germanic),"['p', 't', 'k', 'b', 'd', 'ɡ', 'i', 'y', 'u', 'f', 's', 'h', 'ɪ', 'ʊ', 'v', 'ð', 'ɣ', 'ø', 'ʌ', 'o', 'm', 'n', 'ŋ', 'ɛ', 'œ', 'ɔ', 'l', 'æ', 'a', 'r', 'j', '']"
118,Degema,NIGER-CONGO (Edoid),"['p', 't', 'k', 'k͡p', 'b', 'd', 'dʒ', 'ɡ', 'ɡ͡b', 'ĩ', 'ũ', 'ɓ', 'ɗ', 'ɪ̃', 'ʊ̃', 'f', 's', 'h', 'i', 'u', 'v', 'ɪ', 'ʊ', 'm', 'n', 'ɲ', 'ŋ', 'ŋʷ', 'e', 'o', 'r', 'ɛ', 'ə', 'ɔ', 'l', 'a', 'j', 'w', '']"
119,Delaware (Unami),ALGIC,"['p', 't', 'tʃ', 'k', 's', 'ʃ', 'x', 'h', 'ə', 'iː', 'oː', 'm', 'n', 'a', 'eː', 'aː', 'l', 'w', 'j', '']"
120,Desano,TUCANOAN,"['p', 't', 'k', 'b', 'd', 'ɡ', 'i', 'ɯ', 'u', 's', 'h', 'e', 'o', 'j', 'a', '']"
121,Dhaasanac (Daasanach),AFRO-ASIATIC (Cushitic),"['t', 'c', 'k', 'ʔ', 'b', 'd', 'ɟ', 'ɡ', 'ɪ', 'ʊ', 'ɓ', 'ɗ', 'ʄ', 'ɠ', 'ɛ', 'ɔ', 'f', 's', 'ʃ', 'a', 'ð', 'm', 'n', 'ɲ', 'ŋ', 'r', 'l', 'w', 'j', '']"
122,Dhivehi (Maldivian),INDO-EUROPEAN (Indo-Aryan),"['p', 't̪', 'ʈ', 'c', 'k', 'b', 'd̪', 'ɖ', 'ɟ', 'ɡ', 'iː', 'uː', '\uf180b', 'ⁿd̪', 'ⁿɖ', '\uf182ɡ', 'i', 'u', 'f', 's̪', 'ʂ', 'h', 'eː', 'oː', 'v', 'z̪', 'e', 'o', 'm', 'n̪', 'aː', 'l̪', 'ɭ', 'a', 'ɾ', 'j', '']"
123,Dholuo (Luo),NILO-SAHARAN,"['p', 't', 'c', 'k', 'b', 'd', 'ɟ', 'ɡ', 'i', 'u', '\uf180b', 'ⁿd', 'ⁿɟ', '\uf182ɡ', 'ɪ', 'ʊ', 'θ', 's', 'h', 'e', 'o', 'ð', 'ɛ', 'ɔ', 'm', 'n', 'ɲ', 'ŋ', 'a', 'l', 'r', 'w', 'j', '']"
124,Dieri (Diyari),A Grammar of Diyari,"['p', 't̪', 't', 'ʈ', 'c', 'k', 'd', 'ɖ', 'i', 'u', 'm', 'n̪', 'n', 'ɳ', 'ɲ', 'ŋ', 'a', 'l̪', 'l', 'ɭ', 'ʎ', 'ɾ', 'w', 'ɻ', 'j', '']"
125,Diola-Fogny (Jola-Fogny),NIGER-CONGO,"['p', 't', 'c', 'k', 'b', 'd', 'ɟ', 'ɡ', 'i', 'ɪ', 'ʊ', 'u', 'f', 's', 'h', 'e', 'ə', 'o', 'm', 'n', 'ɲ', 'ŋ', 'ɛ', 'ɔ', 'l', 'a', 'ɹ', 'w', 'j', '']"
126,Djinang/Djinba,AUSTRALIAN (Pama-Nyungan),"['p', 't', 'ʈ', 'c', 'k', 'd', 'ɖ', 'ɟ', 'i', 'u', 'm', 'n', 'ɳ', 'ɲ', 'ŋ', 'a', 'l', 'ɭ', 'r', 'ɽ', 'w', 'j', '']"
127,Dominican Creole (variety of Lesser Antillean Creole French),CREOLE,"['p', 't', 'tʃ', 'k', 'b', 'd', 'dʒ', 'ɡ', 'i', 'u', 'f', 's', 'ʃ', 'h', 'e', 'o', 'v', 'z', 'ʒ', 'a', 'm', 'n', 'ɲ', 'ŋ', 'l', 'w', 'j', '']"
128,Doyayo,NIGER-CONGO,"['p', 't', 'k', 'k͡p', 'i', 'iː', 'u', 'uː', 'b', 'd', 'ɡ', 'ɡ͡b', 'e', 'eː', 'o', 'oː', 'ɓ', 'ɗ', 'ɛ', 'ɛː', 'ɔ', 'ɔː', 'f', 's', 'h', 'a', 'aː', 'v', 'z', 'm', 'n', 'ŋ', 'ĩ', 'ĩː', 'ũ', 'ũː', 'l', 'ɛ̃', 'ɛ̃ː', 'ɔ̃', 'ɔ̃ː', 'r', 'ã', 'ãː', 'w', 'j', '']"
129,Dutch,INDO-EUROPEAN (Germanic),"['p', 't', 'k', 'b', 'd', 'i', 'y', 'u', 'f', 's', 'x', 'ɪ', 'ʏ', 'v', 'z', 'ɣ', 'ɦ', 'e', 'ø', 'o', 'm', 'n', 'ŋ', 'ɛ', 'œ', 'ɔ', 'l', 'a', 'ɑ', 'r', 'ʋ', 'j', '']"
130,Dutch (most varieties),INDO-EUROPEAN (Germanic),"['p', 't', 'k', 'b', 'd', 'i', 'y', 'u', 'f', 's', 'x', 'ɪ', 'ʏ', 'v', 'z', 'ɣ', 'ɦ', 'e', 'ø', 'o', 'm', 'n', 'ŋ', 'ɛ', 'œ', 'ɔ', 'l', 'a', 'ɑ', 'r', 'ʋ', 'j', '']"
131,Dutch (southern and Belgium),INDO-EUROPEAN (Germanic),"['p', 't', 'k', 'b', 'd', 'i', 'y', 'u', 'f', 's', 'x', 'ɪ', 'ʏ', 'v', 'z', 'ɣ', 'ɦ', 'e', 'ø', 'o', 'm', 'n', 'ŋ', 'ɛ', 'œ', 'ɔ', 'l', 'a', 'ɑ', 'r', 'ʋ', 'j', '']"
132,Dyirbal,AUSTRALIAN (Pama-Nyungan),"['b', 'd', 'd̻', 'ɡ', 'm', 'n', 'n̻', 'ŋ', 'i', 'u', 'l', 'ɾ', 'ɽ', 'a', 'w', 'j', '']"
133,Dàgáárè,NIGER-CONGO (Gur),"['p', 't', 'tʃ', 'k', 'k͡p', 'ʔ', 'b', 'd', 'dʒ', 'ɡ', 'ɡ͡b', 'i', 'u', 'f', 's', 'h', 'ɪ', 'ʊ', 'v', 'z', 'ɦ', 'e', 'o', 'm', 'n', 'ɲ', 'ŋ', 'ŋ͡m', 'ɛ', 'ɔ', 'ʔm', 'a', 'l', 'ʔl', 'r', 'j', 'w', '']"
134,Edo,NIGER-CONGO (Edoid),"['p', 't', 'k', 'k͡p', 'b', 'd', 'ɡ', 'ɡ͡b', 'i', 'ĩ', 'u', 'ũ', 'f', 's', 'x', 'h', 'e', 'o', 'v', 'z', 'ɣ', 'ɛ', 'ɛ̃', 'ɔ', 'ɔ̃', 'm', 'a', 'ã', 'r', 'r̥', 'l', 'ɺ', 'ʋ', 'j', 'w', '']"
135,Efik,NIGER-CONGO,"['p', 't', 'k', 'k͡p', 'b', 'd', 'i', 'u', 'f', 's', 'h', 'e', 'o', 'm', 'n', 'ɲ', 'ŋ', 'ɔ', 'a', 'r', 'w', 'j', '']"
136,Egene (Engenni),NIGER-CONGO (Edoid),"['p', 't', 'k', 'k͡p', 'b', 'd', 'ɡ', 'ɡ͡b', 'i', 'u', 'ɓ', 'ɗ', 'ɪ', 'ʊ', 'f', 's', 'e', 'o', 'v', 'z', 'ɛ', 'ɔ', 'm', 'n', 'a', 'r', 'l', 'j', 'w', 'j̃', 'w̃', '']"
137,Ehueun,NIGER-CONGO (Edoid),"['t', 'k', 'k͡p', 'b', 'd', 'ɡ', 'ɡ͡b', 'i', 'ĩ', 'u', 'ũ', 'ɸ', 'f', 's', 'h', 'e', 'o', 'β', 'v', 'z', 'ɛ', 'ɛ̃', 'ɔ', 'ɔ̃', 'r', 'a', 'ã', 'r̥', 'l', 'j', 'w', '']"
